Wahlkreiscode,Wahlkreis,AfDShare2017,AvgNetFortzuege2014-2017,FortzuegeProzentFrom2013Population,Arbeitslos,EastWest,Ausbildung
5366,"Euskirchen, Kreis",9.892369305585353,-219.83333333333334,-0.1172838518186556,0.029745949293956603,0,0.005365201142993957
6633,"Kassel, Landkreis",11.338501998019058,-277.72222222222223,-0.11901428838073905,0.02215283470089659,0,0.0026787902346687847
6636,Werra-Mei�ner-Kreis,11.24598416851588,-119.44444444444444,-0.11902073064335424,0.028446800724028446,0,0.002801159236802801
7331,"Alzey-Worms, Landkreis",13.814613316870522,-149.66666666666666,-0.11952965480155173,0.022074557069382737,0,0.0036757210996039495
9571,"Ansbach, Landkreis",11.726216258559198,-217.94444444444446,-0.12181519861187208,0.01554110097350155,0,0.002181647531322303
7232,Eifelkreis Bitburg-Pr�m,7.408899468961729,-118.94444444444444,-0.12369687851707042,0.01581257063728834,0,0.004366020791544908
7137,"Mayen-Koblenz, Landkreis",10.106736242884251,-264.3333333333333,-0.1260020179390011,0.018955393015349747,0,0.002375979845846952
6631,"Fulda, Landkreis",16.157079697588948,-272.77777777777777,-0.12610269227963877,0.01580824499623506,0,0.003436692622969299
3359,"Stade, Landkreis",9.470895516190382,-252.77777777777777,-0.12862961681378507,0.03039323978265069,0,0.00307696879937787
3361,"Verden, Landkreis",9.735338124555422,-170.83333333333334,-0.12897072553268069,0.025631451790028553,0,0.003518559191741709
7235,"Trier-Saarburg, Landkreis",8.088618111326502,-186.88888888888889,-0.12948092927585383,0.016312983060889234,0,0.0021059435003904885
9779,"Donau-Ries, Landkreis",13.2336033112752,-168,-0.1298079151921621,0.01112422299557286,0,0.002423276684981547
13072,Landkreis Rostock,18.164780735946078,-273.6666666666667,-0.12997395771492795,0.0335919118503506,1,0.002118014303352203
8325,"Rottweil, Landkreis",13.815999489242161,-176.44444444444446,-0.13039147824359076,0.01472727534603696,0,0.00297858243673393
6534,"Marburg-Biedenkopf, Landkreis",11.45355362038839,-316.05555555555554,-0.13078738187984393,0.020010968253001037,0,0.004093189527349542
3154,"Helmstedt, Landkreis",9.913689983253281,-119.83333333333333,-0.13252527933527253,0.03699302224160488,0,0.003087658089838639
